编号,供应商名称,描述
安徽江淮汽车集团股份有限公司,安徽江淮汽车集团股份有限公司,Z120003 三类底盘
安徽赛客安防科技有限公司,安徽赛客安防科技有限公司,电池箱灭火器
安徽金诚汽车装饰设计开发有限公司,安徽金诚汽车装饰设计开发有限公司,Z140006 仪表台
安徽霍山县富辰林产科技有限公司,安徽霍山县富辰林产科技有限公司,竹胶板
安费诺科技术有限公司,安费诺科技术有限公司,连接器
山东禹轮机械科技有限公司,山东禹轮机械科技有限公司,轮辋
嵊州市御笙电子科技股份有限公司,嵊州市御笙电子科技股份有限公司,Z150107 扬声器
巩义市泛锐熠辉复合材料有限公司,巩义市泛锐熠辉复合材料有限公司,Z150105 棉类产品
市场采购,市场采购,市场采购
希迪智驾（长沙智能驾驶研究院）,希迪智驾（长沙智能驾驶研究院）,自动驾驶零部件、车载相机
常州信德泰克电器有限公司,常州信德泰克电器有限公司,Z140042 残疾人翻转踏步
常州力普特贸易有限公司,常州力普特贸易有限公司,Z120087 倍耐力轮胎
常州市军越车辆科技有限公司,常州市军越车辆科技有限公司,Z140004 PVC风道、扶手、PVC板
常州市凯凌车配有限公司,常州市凯凌车配有限公司,Z130010 后视镜、内后视镜
常州市浩哲科技有限公司,常州市浩哲科技有限公司,ATS
常州艾嵘车辆部件有限公司,常州艾嵘车辆部件有限公司,Z140041 侧围装饰板
常州蜀杰车辆部件有限公司,常州蜀杰车辆部件有限公司,胶管
常州远方卓越汽车部件有限公司,常州远方卓越汽车部件有限公司,Z150086 折叠座椅
常州长江玻璃有限公司,常州长江玻璃有限公司,玻璃
常州隆发电气科技有限公司,常州隆发电气科技有限公司,Z140026 扶手
常熟申毅卡车厢体制造有限公司,常熟申毅卡车厢体制造有限公司,Z130032 15mm木地板
广东东兴客车配件有限公司,广东东兴客车配件有限公司,Z130014 雨刮器
广东亚德客智能装备有限公司,广东亚德客智能装备有限公司,Z150062 直通快插管接头\两位三通电磁阀
广东亿尚智能办公家具有限公司,广东亿尚智能办公家具有限公司,Z230021 办公、食堂、宿舍家具项目
广东兴发精密制造有限公司,广东兴发精密制造有限公司,Z150078 铝型材、中段装饰件
广东兴发铝业有限公司,广东兴发铝业有限公司,铝型材
广东别特视讯科技有限公司,广东别特视讯科技有限公司,车内广告屏、双面屏、电视广告机、信息通讯与声像
广东富瑞希空气净化过滤制品有限公司,广东富瑞希空气净化过滤制品有限公司,Z230014 过滤顶棉
广东欧派斯润滑科技有限公司,广东欧派斯润滑科技有限公司,Z150109 润滑油、防冻液
