Rel Name,from.type,from.name,from.revision,to.type,to.name,to.revision,Override Settings,Create Trigger,Modify Trigger,Delete Trigger
Classified Item,Document Family,05-技术通知单,B89C1076000048F85B752065000014E1,Document,P-VD-05-0496-2019,0,,,,
Classified Item,Document Family,05-技术通知单,B89C1076000048F85B752065000014E1,Document,P-VD-05-0529-2019,0,,,,
Classified Item,Document Family,05-技术通知单,B89C1076000048F85B752065000014E1,Document,P-VD-05-0548-2019,0,,,,
Classified Item,Document Family,2022第1季度,B89C1076000188E461D3A31400001D55,ZTENEWTZD,P-06-0083-2022,0,,,,
Classified Item,Document Family,05-技术通知单,B89C1076000048F85B752065000014E1,Document,P-VD-05-0500-2019,0,,,,
Classified Item,Document Family,05-技术通知单,B89C1076000048F85B752065000014E1,Document,P-VD-05-0541-2019,1,,,,
Classified Item,Document Family,06-技术变更通知单,B89C1076000048F85B752065000014E1,Document,P-VD-06-0283-2019,0,,,,
Classified Item,Document Family,05-技术通知单,B89C1076000048F85B752065000014E1,Document,P-VD-06-0285-2019,0,,,,
Classified Item,Document Family,05-技术通知单,B89C1076000048F85B752065000014E1,Document,P-VD-05-0533-2019,0,,,,
Classified Item,Document Family,06-技术变更通知单,B89C1076000048F85B752065000014E1,Document,P-VD-06-0287-2019,0,,,,
Classified Item,Document Family,06-技术变更通知单,B89C1076000048F85B752065000014E1,Document,P-VD-06-0274-2019,0,,,,
Classified Item,Document Family,06-技术变更通知单,B89C1076000048F85B752065000014E1,Document,P-VD-06-0284-2019,0,,,,
Classified Item,Document Family,06-技术变更通知单,B89C1076000048F85B752065000014E1,Document,P-VD-06-0007-2020,0,,,,
Classified Item,Document Family,05-技术通知单,B89C1076000048F85B752065000014E1,Document,P-VD-05-0553-2019,0,,,,
Classified Item,Document Family,06-技术变更通知单,B89C1076000048F85B752065000014E1,Document,P-VD-06-0005-2020,0,,,,
Classified Item,Document Family,05-技术通知单,B89C1076000048F85B752065000014E1,Document,P-VD-05-0006-2020,0,,,,
Classified Item,Document Family,05-技术通知单,B89C1076000048F85B752065000014E1,Document,P-VD-05-0547-2019,0,,,,
Classified Item,Document Family,06-技术变更通知单,B89C1076000048F85B752065000014E1,Document,P-VD-06-0292-2019,0,,,,
Classified Item,Document Family,05-技术通知单,B89C1076000048F85B752065000014E1,Document,P-VD-05-0001-2020,0,,,,
Classified Item,Document Family,05-技术通知单,B89C1076000048F85B752065000014E1,Document,P-VD-05-0004-2020,0,,,,
Classified Item,Document Family,05-技术通知单,B89C1076000048F85B752065000014E1,Document,P-VD-05-0003-2020,0,,,,
Classified Item,Document Family,06-技术变更通知单,B89C1076000048F85B752065000014E1,Document,P-VD-06-0001-2020,0,,,,
Classified Item,Document Family,06-技术变更通知单,B89C1076000048F85B752065000014E1,Document,P-VD-06-0003-2020,0,,,,
Classified Item,Document Family,06-技术变更通知单,B89C1076000048F85B752065000014E1,Document,P-VD-06-0006-2020,0,,,,
Classified Item,Document Family,06-技术变更通知单,B89C1076000048F85B752065000014E1,Document,P-VD-06-0013-2020,0,,,,
Classified Item,Document Family,24-产品实施通知单,B89C1076000048F85B752065000014E1,Document,P-TM-24-0001-2020,0,,,,
Classified Item,Document Family,05-技术通知单,B89C1076000048F85B752065000014E1,Document,P-VD-05-0011-2020,0,,,,
Classified Item,Document Family,05-技术通知单,B89C1076000048F85B752065000014E1,Document,P-VD-05-0010-2020,0,,,,
Classified Item,Document Family,24-产品实施通知单,B89C1076000048F85B752065000014E1,Document,P-TM-24-0002-2020,0,,,,
Classified Item,Document Family,2022B89C107600001210603CB78200015A44,B89C107600001210603CB78200015A44,ZTENEWTZD,P-TM-06-0004-2022,0,,,,
Classified Item,Document Family,06-技术变更通知单,B89C1076000048F85B752065000014E1,Document,P-VD-06-0010-2020,0,,,,
Classified Item,Document Family,06-技术变更通知单,B89C1076000048F85B752065000014E1,Document,P-VD-06-0012-2020,0,,,,
Classified Item,Document Family,05-技术通知单,B89C1076000048F85B752065000014E1,Document,P-VD-05-0014-2020,0,,,,
Classified Item,Document Family,06-技术变更通知单,B89C1076000048F85B752065000014E1,Document,P-VD-06-0011-2020,0,,,,
